KMM:
DatabaseOperator results (110 iterations, n = 400000):
CPU | used memory | timestamp 
---
9.0 | 17.2354736328125 | 87162.98177008334
9.0 | 17.9229736328125 | 87162.99333575001
9.0 | 18.1104736328125 | 87163.0101575
9.0 | 18.2510986328125 | 87163.02665658334
9.0 | 18.4073486328125 | 87163.04336291667
9.0 | 18.6260986328125 | 87163.06000183334
9.0 | 18.8604736328125 | 87163.07667133334
9.0 | 18.9073486328125 | 87163.093244
49.10000000000001 | 19.1573486328125 | 87163.10992870833
49.10000000000001 | 19.40740966796875 | 87163.126666625
49.10000000000001 | 19.64178466796875 | 87163.14323470833
49.10000000000001 | 19.87615966796875 | 87163.15992616667
49.10000000000001 | 20.11053466796875 | 87163.176648875
49.10000000000001 | 20.34490966796875 | 87163.19323558334
49.10000000000001 | 20.57928466796875 | 87163.20995333334
73.9 | 20.81365966796875 | 87163.22662329167
73.9 | 21.03240966796875 | 87163.24318008334
73.9 | 21.28240966796875 | 87163.25998779167
73.9 | 21.50115966796875 | 87163.27655750001
73.9 | 21.73553466796875 | 87163.29326783335
73.9 | 21.95428466796875 | 87163.30983175001
73.9 | 22.20428466796875 | 87163.32646933333
73.9 | 22.43865966796875 | 87163.34314362501
87.89999999999999 | 22.67303466796875 | 87163.35990591667
87.89999999999999 | 22.89178466796875 | 87163.37657108334
87.89999999999999 | 23.12615966796875 | 87163.39312691668
87.89999999999999 | 23.36053466796875 | 87163.40985270834
87.89999999999999 | 23.57928466796875 | 87163.42645500001
87.89999999999999 | 23.81365966796875 | 87163.44314029167
87.89999999999999 | 23.93865966796875 | 87163.45980716667
92.6 | 18.3917236328125 | 87163.47650333334
92.6 | 22.81365966796875 | 87163.49321920834
92.6 | 30.42303466796875 | 87163.50978475
92.6 | 37.15740966796875 | 87163.52646054167
92.6 | 44.21990966796875 | 87163.543165625
92.6 | 51.923095703125 | 87163.55979029168
92.6 | 58.251220703125 | 87163.57651991668
92.6 | 62.001220703125 | 87163.59313020833
101.7 | 71.813720703125 | 87163.60975687501
101.7 | 81.31378173828125 | 87163.62642991667
101.7 | 82.62628173828125 | 87163.64311725
101.7 | 85.47003173828125 | 87163.65973741667
101.7 | 91.75128173828125 | 87163.67638929168
101.7 | 102.61065673828125 | 87163.69304383334
101.7 | 113.9544677734375 | 87163.70976091667
108.89999999999999 | 115.1888427734375 | 87163.72642383334
108.89999999999999 | 117.5950927734375 | 87163.74308641667
108.89999999999999 | 120.20452880859375 | 87163.75986866668
108.89999999999999 | 122.72015380859375 | 87163.77651129167
108.89999999999999 | 125.23577880859375 | 87163.79307295835
108.89999999999999 | 126.92327880859375 | 87163.80970029168
108.89999999999999 | 119.3450927734375 | 87163.82650208334
Execution time (it=1): 0.863560249999864 
---
108.89999999999999 | 115.9700927734375 | 87163.84300987501
106.60000000000001 | 123.9232177734375 | 87163.859731375
106.60000000000001 | 132.0482177734375 | 87163.87633
106.60000000000001 | 140.2825927734375 | 87163.89316091668
106.60000000000001 | 147.2044677734375 | 87163.909806875
106.60000000000001 | 147.2044677734375 | 87163.92648458334
106.60000000000001 | 147.4857177734375 | 87163.94301066667
106.60000000000001 | 148.8294677734375 | 87163.95966145834
117.4 | 148.8294677734375 | 87163.97630083334
117.4 | 148.8607177734375 | 87163.99297233333
117.4 | 148.9700927734375 | 87164.009577
117.4 | 149.2044677734375 | 87164.02640695834
117.4 | 149.07952880859375 | 87164.04306983334
117.4 | 149.31390380859375 | 87164.05973070834
117.4 | 149.54827880859375 | 87164.07638875
117.4 | 144.34515380859375 | 87164.09304987501
116.00000000000001 | 140.22015380859375 | 87164.10970654167
116.00000000000001 | 140.43890380859375 | 87164.12636091668
116.00000000000001 | 140.67327880859375 | 87164.14289370834
116.00000000000001 | 140.90765380859375 | 87164.15969008334
116.00000000000001 | 141.14202880859375 | 87164.17632204168
116.00000000000001 | 141.36077880859375 | 87164.19300595834
116.00000000000001 | 141.59515380859375 | 87164.20945354167
114.7 | 141.82952880859375 | 87164.22633183334
114.7 | 142.06390380859375 | 87164.24298691667
114.7 | 142.29827880859375 | 87164.25946729167
114.7 | 142.51702880859375 | 87164.27613216668
114.7 | 142.75140380859375 | 87164.292833625
114.7 | 142.97015380859375 | 87164.30963308334
114.7 | 143.20452880859375 | 87164.32629445834
114.7 | 143.43890380859375 | 87164.34296025001
114.2 | 137.9857177734375 | 87164.35951383333
114.2 | 139.0638427734375 | 87164.37618495834
114.2 | 145.2513427734375 | 87164.39280425
114.2 | 148.3294677734375 | 87164.40962104168
114.2 | 148.3294677734375 | 87164.42627045834
114.2 | 148.3294677734375 | 87164.44288104167
114.2 | 148.3294677734375 | 87164.45948770834
111.9 | 148.3294677734375 | 87164.4761065
111.9 | 148.3294677734375 | 87164.49275370834
111.9 | 148.3294677734375 | 87164.50940962501
111.9 | 148.3294677734375 | 87164.52611579167
111.9 | 148.3294677734375 | 87164.54293362501
111.9 | 148.3294677734375 | 87164.55956987501
111.9 | 148.3294677734375 | 87164.57610395834
111.9 | 148.3294677734375 | 87164.592858125
114.1 | 152.2044677734375 | 87164.6095335
114.1 | 152.2044677734375 | 87164.62617795834
114.1 | 152.2044677734375 | 87164.64270120834
114.1 | 153.12640380859375 | 87164.65936795835
114.1 | 155.57952880859375 | 87164.67598229166
114.1 | 158.06390380859375 | 87164.69273475
114.1 | 159.78265380859375 | 87164.70949258334
113.10000000000001 | 152.2044677734375 | 87164.72600070834
Execution time (it=2): 0.9008325000031618 
---
113.10000000000001 | 151.6732177734375 | 87164.74276866668
113.10000000000001 | 151.8919677734375 | 87164.759305875
113.10000000000001 | 152.1419677734375 | 87164.77605150001
113.10000000000001 | 152.3763427734375 | 87164.79275800001
113.10000000000001 | 152.5950927734375 | 87164.80937645833
113.10000000000001 | 156.95452880859375 | 87164.82620675
113.10000000000001 | 156.95452880859375 | 87164.84273725
115.8 | 157.26702880859375 | 87164.85933858334
115.8 | 157.31390380859375 | 87164.87597558335
115.8 | 157.34515380859375 | 87164.89262345833
115.8 | 157.37640380859375 | 87164.90932158334
115.8 | 157.47015380859375 | 87164.92611179168
115.8 | 157.72021484375 | 87164.94272800001
115.8 | 155.40771484375 | 87164.95920845834
118.6 | 155.64208984375 | 87164.97592616668
118.6 | 155.61083984375 | 87164.99251025
118.6 | 145.39208984375 | 87165.00918933334
118.6 | 140.53271484375 | 87165.02602825001
118.6 | 140.76708984375 | 87165.042682625
118.6 | 140.98583984375 | 87165.059303625
118.6 | 141.22021484375 | 87165.07597266667
118.6 | 141.43896484375 | 87165.09259008334
117.1 | 141.65771484375 | 87165.109322125
117.1 | 141.90771484375 | 87165.12597800001
117.1 | 142.12646484375 | 87165.14255437501
117.1 | 142.36083984375 | 87165.159189375
117.1 | 142.59521484375 | 87165.17597095834
117.1 | 142.81396484375 | 87165.19254541668
117.1 | 143.03271484375 | 87165.20917708334
114.6 | 143.26708984375 | 87165.22594237501
114.6 | 143.48583984375 | 87165.24246783333
114.6 | 143.72021484375 | 87165.25927325
114.6 | 138.22015380859375 | 87165.27579391668
114.6 | 139.84515380859375 | 87165.29245075
114.6 | 146.64202880859375 | 87165.309113375
114.6 | 152.76702880859375 | 87165.32577725001
114.6 | 156.59515380859375 | 87165.34257379167
113.30000000000001 | 156.59515380859375 | 87165.35912675
113.30000000000001 | 156.59515380859375 | 87165.37593033334
113.30000000000001 | 155.78265380859375 | 87165.39242508334
113.30000000000001 | 156.39202880859375 | 87165.40922220834
113.30000000000001 | 156.39202880859375 | 87165.42588975001
113.30000000000001 | 156.39202880859375 | 87165.44245654167
113.30000000000001 | 156.59515380859375 | 87165.45918970834
113.30000000000001 | 156.59515380859375 | 87165.47572933334
114.89999999999999 | 156.59515380859375 | 87165.49254250001
114.89999999999999 | 156.59515380859375 | 87165.50921691667
114.89999999999999 | 156.59515380859375 | 87165.52578583334
114.89999999999999 | 156.59515380859375 | 87165.54250550001
114.89999999999999 | 156.59515380859375 | 87165.55907133334
114.89999999999999 | 156.47015380859375 | 87165.57570712501
114.89999999999999 | 159.00146484375 | 87165.59237545833
118.69999999999999 | 161.54833984375 | 87165.60914712501
118.69999999999999 | 164.09521484375 | 87165.62580508334
118.69999999999999 | 156.59515380859375 | 87165.64244854168
Execution time (it=3): 0.922001500002807 
---
118.69999999999999 | 155.97015380859375 | 87165.65912283334
118.69999999999999 | 154.65765380859375 | 87165.6756655
118.69999999999999 | 156.45452880859375 | 87165.692353
118.69999999999999 | 156.68890380859375 | 87165.70900883334
118.69999999999999 | 156.93890380859375 | 87165.72560620833
108.9 | 157.14202880859375 | 87165.74229558333
108.9 | 157.14202880859375 | 87165.75916658333
108.9 | 157.25140380859375 | 87165.77556516667
108.9 | 157.32952880859375 | 87165.79229795834
108.9 | 157.32952880859375 | 87165.80901695834
108.9 | 157.36077880859375 | 87165.82577033334
108.9 | 157.47015380859375 | 87165.84231270834
119.6 | 157.72021484375 | 87165.85904525
119.6 | 156.01708984375 | 87165.87553970834
119.6 | 156.23583984375 | 87165.89236545833
119.6 | 155.53271484375 | 87165.90901908334
119.6 | 148.95458984375 | 87165.92567470834
119.6 | 144.50146484375 | 87165.94221141667
119.6 | 144.73583984375 | 87165.95898220834
119.6 | 144.95458984375 | 87165.97552291668
117.4 | 145.18896484375 | 87165.992159125
117.4 | 145.40771484375 | 87166.00883895834
117.4 | 145.62646484375 | 87166.02560220833
117.4 | 145.86083984375 | 87166.04229779168
117.4 | 146.09521484375 | 87166.0588525
117.4 | 146.31396484375 | 87166.075581375
117.4 | 146.53271484375 | 87166.09228529167
115.2 | 146.75146484375 | 87166.108949375
115.2 | 146.97021484375 | 87166.12559604167
115.2 | 147.18896484375 | 87166.14217833334
115.2 | 147.42333984375 | 87166.15879833334
115.2 | 147.64208984375 | 87166.17558504167
115.2 | 142.20452880859375 | 87166.19231266667
115.2 | 143.23577880859375 | 87166.20881670834
115.2 | 149.79827880859375 | 87166.22542741668
111.10000000000001 | 156.59515380859375 | 87166.2422525
111.10000000000001 | 156.59515380859375 | 87166.258938625
111.10000000000001 | 156.59515380859375 | 87166.27545254167
111.10000000000001 | 156.59515380859375 | 87166.29207016667
111.10000000000001 | 156.59515380859375 | 87166.30875762501
111.10000000000001 | 155.00140380859375 | 87166.32555408333
111.10000000000001 | 155.00140380859375 | 87166.3420535
114.69999999999999 | 155.00140380859375 | 87166.35874000001
114.69999999999999 | 155.00140380859375 | 87166.37541316668
114.69999999999999 | 155.00140380859375 | 87166.39210170833
114.69999999999999 | 156.12640380859375 | 87166.40879154167
114.69999999999999 | 156.12640380859375 | 87166.42543058335
114.69999999999999 | 156.12640380859375 | 87166.44206875001
114.69999999999999 | 156.12640380859375 | 87166.45884800001
114.69999999999999 | 157.70458984375 | 87166.47546266667
114.3 | 160.17333984375 | 87166.49212458334
114.3 | 162.57958984375 | 87166.50861095834
114.3 | 156.12640380859375 | 87166.52554733334
114.3 | 155.50140380859375 | 87166.54200183334
Execution time (it=4): 0.889905041680322 
---
114.3 | 155.61077880859375 | 87166.55886941667
114.3 | 155.61077880859375 | 87166.57546554167
114.3 | 155.67327880859375 | 87166.59198291667
114.69999999999999 | 156.22015380859375 | 87166.6086855
114.69999999999999 | 156.22015380859375 | 87166.62527625001
114.69999999999999 | 156.25140380859375 | 87166.64196604167
114.69999999999999 | 156.45452880859375 | 87166.65874466667
114.69999999999999 | 156.67327880859375 | 87166.67522295834
114.69999999999999 | 153.97015380859375 | 87166.69205466667
114.69999999999999 | 154.20452880859375 | 87166.70871412501
114.69999999999999 | 152.81390380859375 | 87166.72527816668
116.80000000000001 | 147.48577880859375 | 87166.74190508334
116.80000000000001 | 147.59521484375 | 87166.75849075
116.80000000000001 | 147.82958984375 | 87166.775211625
116.80000000000001 | 148.04833984375 | 87166.791998875
116.80000000000001 | 148.28271484375 | 87166.80871520833
116.80000000000001 | 148.50146484375 | 87166.82533450001
116.80000000000001 | 148.72021484375 | 87166.841982375
